conversation_id,customer_message,agent_response,intent
15268.0,.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015,@119350 Apologies for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/2),UNLABELLED
15288.0,@118919 @119356 अगर आप नोकिया 6 mobile को समय पर नही पहुंचा पाते हैं customer को तो क्यों आप नोकिया का फ़ोन बेचते है,@119355 We understand you are yet to receive your order. Let us investigate this further. Please reach us via (1/2) ^VM,UNLABELLED
15678.0,"Dear #Amazon @115821 @115850 #GlobalStore. 50 days, No delivery, No response. https://t.co/R1KcEpWHvq",@119448 Sorry to know the shipment hasn't been delivered yet. Please reply to the email received from us and we shall 1/2 ^SH,UNLABELLED
16105.0,"@115850 Yerwada, Pune delivery folks r habituated/instructed to mark package delivered, wen customer not reachable n product nt delivered",@119533 I'm sorry to know about the conflicting tracking update. Have you reported this to our team here: https://t.co/vlvfJrlYEH ? ^GK,UNLABELLED
16470.0,@115850 do u think human cloning is real? I am sitting @ home and you tell me I rcvd a package and signed 4 it too. I didn't. Only explntn,@119628 That's strange. I'm sorry for the experience. Let us check this out for you. Please reach us via: (1/2) ^VM,UNLABELLED
16477.0,"@AmazonHelp installed the alexa app,but it doesn't take my India address alexa weather gives me report of Seattle instead of Pune.",@119629 Request you to change the country settings. Please click here:https://t.co/crghASQyRX. Login with your amazon 1/2 ^SH,UNLABELLED
17220.0,@AmazonHelp Kindly send me a direct message so that I can revert back with my phone number and expect a call SOON! (2/2),@119793 Please add an email address to your account and then continue to fill the form. Appreciate your patience. ^RW,UNLABELLED
17634.0,"@115850 I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?","@119901 Prime customers will have benefits like Prime Delivery Benefits, Prime Early and Exclusive Access Deals. You can 1/2 ^SH",UNLABELLED
17656.0,@AmazonHelp @115850 I have bought a product and now it's size is not matching I want to return it and also requested return process.,"@119904 we were unable to arrange a return, hence we requested you to cooperate and self-return the order for a refund. 2/3 ^AB",UNLABELLED
17900.0,Hey @115851 unpredictable delivery processes r killing Amazon experience in India. Loyal customers like me are dissatisfied. DO SOMETHING,@119628 I'm sorry for the unpleasant experience. This could be due to an incorrect tracking scan update. May I know if you 1/2 ^SH,UNLABELLED
17916.0,@115850 why am i charged $10.99 for prime membership every month when i have purchased it for INR 499?,@119974 Sorry about the payment issue. This charge could be of Prime subscription on https://t.co/nUUp5MLhYl. (1/2) ^KA,UNLABELLED
18139.0,@AmazonHelp My email address is __email__,"@120032 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2^VH",UNLABELLED
18162.0,@AmazonHelp Please help Your team is not providing support and information properly. They are just ingnoring my request. I need access. https://t.co/VqK97kzHrt,@120035 Since your account is on hold even our hands as customer service are tied. (1/2) ^SI,UNLABELLED
18174.0,@AmazonHelp Package yet to be received. The delivery boy must’ve signed himself or delivered to someone else. Also if possible send me photo of the sign,@120037 Sorry for the trouble with the delivery. Kindly drop in your details here: https://t.co/2nQ2CFxoWn and we'll work on it.^NS,UNLABELLED
18392.0,@115850 what’s the use of amazon prime membership if the product reaches me after 2 days of placing the order .. al false promises,@120086 delivered after the estimated delivery date mentioned in the order confirmation email? 2/2 ^SH,UNLABELLED
18684.0,"@115850 I ordered an Alexa and it's stuck in customs. @120169 sends me an email to upload the KYC. However, the link doesn't work. #Help",@120168 I understand your concern regarding the delivery of the package. Kindly reach out to us 1/2 ^AH,UNLABELLED
18694.0,"@115850 am not seeing any update on my order since Sunday , kindly advice if it's still on time ? https://t.co/RTqSMhgGeR","@120172 I understand your concern, kindly contact us here: https://t.co/rS49hgaADF &amp; we'll be glad to help you. Please don't 1/2 ^SY",UNLABELLED
18904.0,Dear @115850 my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,"@120226 Also, as this a social medial platform, please don't provide order details. We consider it personal information.(3/3)^HR",UNLABELLED
18945.0,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it. @115850,@120228 Please don’t provide your order details as we consider them to be personal information. 2/3 ^SB,UNLABELLED
18965.0,@115850 can you update me the status as its already 5 days over till date material not dispatched. https://t.co/wpcmD6WMhO,@120229 Request you to wait till estimate delivery date for an update. I'm positive that the order will be delivered accordingly. ^RW,UNLABELLED
19216.0,@115850 you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,@120266 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/3),UNLABELLED
19455.0,"@115850 false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that? https://t.co/UG4a7DfhhL",@120321 Please share your details from the link here: https://t.co/tQhzfEpRzL assist you accordingly. (2/2)^HR,UNLABELLED
19477.0,"@115821 broke family&amp; friends trust.Ordered a product month ago,return/refund requested on same month, but still waiting for pickup &amp; refund https://t.co/noCu65cIeB",@120324 I'm sorry to know the pick up hasn't been completed yet. I'd like to work on the issue and get the item picked as soon 1/2 ^SH,UNLABELLED
20024.0,@115850 order no. 408-9844239-0335528 bed side table is not delivered till now.,@120402 We apologize for the delay in the delivery of the order. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you ^ZH,UNLABELLED
20043.0,@115850 order no #408-984423-033528 need sS,"@120402 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^ZH",UNLABELLED
20046.0,@115850 missed to buy the cheaper #amazonprime . Please help :),@120405 now expired the membership will cost Rs.999. 2/2 ^SH,UNLABELLED
20754.0,"So Echo Dot in India only has skills if you necessarily use the English (India) language option, any update to fix that @115821?","@120541 India preferred market place. However, if you have PFM India but not English India, you will still have.(2/3)^VM",UNLABELLED
21045.0,Dearest @115850 this is not expected from you guys. This package was supposed to reach me by Fri. Havent yet got an update! https://t.co/QvgTdMpWUi,@120613 I'm sorry for the delay with your order. Please reach out to our support team here: https://t.co/2t6DQoUmNZ for assistance.^RW,UNLABELLED
21055.0,@AmazonHelp Maybe when you guys do the marketing gimmicks you should put these stuff up. So I buy something and it doesn't even reach me. Wow!,"@120613 We'll not be able to access your account over social media, Ananya. Please reply to the email and we'll get back to you. ^HD",UNLABELLED
21093.0,"Bad service &amp; no reply! Why do Amazon make it so hard to get in touch! Delivery due yesterday as paid for, not in 2 more days! @AmazonHelp https://t.co/dx43TTZIQK","@120619 Hi sorry to hear that, were you given a reason for the delay? ^AS",UNLABELLED
21459.0,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,@120689 Our products are shipped on time so that they can reach you by the estimated delivery date. 1/2 ^AH,UNLABELLED
21485.0,@115821 @120692 Please refer my previous tweets and I request to you to please look into the matter and refund my money https://t.co/neBgFgja9C,@120691 we consider it to be personal information. Our page is visible to the public. 3/3 ^AH,UNLABELLED
21507.0,cheat trick by @115850 https://t.co/y0ZokMT4SH,@120698 I'd like to take a closer look into it. Please fill in this form: https://t.co/GIJyeYqKE0 and I'll revert shortly. 1/2 ^AB,UNLABELLED
21875.0,"@AmazonHelp I was supposed to receive a call back, is this how you want to be a world class company, pls sort my issue out 9051282828",@120769 We will reply you over DM. ^RW,UNLABELLED
21880.0,@115850 Customer care is not capable of solving issues regarding refund and return. Need to speak to senior manager who can solve the prob,@120770 I'm sorry to hear about the trouble you had. I'd like to personally help you. Kindly drop in your details 1//2^AR,UNLABELLED
21884.0,@115850 I hv misplaced bill 4 order no. 402-8074723-5695532 plz send me soft copy as der is sm problem wid mi phone n need imei no.,@120771 You can download the invoice for your order by following the steps given in the link here: https://t.co/LCXlZtd4rt 1/2 ^VH,UNLABELLED
21944.0,@115851 @AmazonHelp @115850 @115821 fire the india sales team. For last 6 days they schedule and cancel the pickup. 404-7148114-1043526,@120778 We have sent you a correspondence here: https://t.co/DTSNmGldJf Kindly check &amp; write back to it for further 1/2 ^SY,UNLABELLED
21971.0,@AmazonHelp Grata. Procuro parceria para divulgar pq meus leitores não tem costume de ler ebook. Se tem como anunciar os livros ou divulgar via Amazon,@120782 2/2 informação sobre outras oportunidades de negócios aqui: https://t.co/ZdT0eTtsfR ^VM,UNLABELLED
22173.0,@AmazonHelp I submitted all the details. Thank you for reply. Expecting a quick response over my refund. Hope @115850 deliver Customer satisfaction.,"@120839 We're sorry for the delay with your refund, Gaurang. Please submit your details here: https://t.co/GIJyeYqKE0. We'll check. ^HK",UNLABELLED
22483.0,"@115850 I had ordered a RedMi 4, 4GB, 64Gb. delivered faulty piece, want re-order the product @1504 price. was going out nxt day.",@120915 Apologies on receiving a faulty product. You may visit the website and place an order 1/2 ^SB,UNLABELLED
22542.0,Hi I returned my order and I followed the proper procedure but got back an empty dabba from post office. @115850 @AmazonHelp PFA photos https://t.co/DmP0UrEttf,@120924 I get your concern if you have self returned the package kindly connect with the courier as they'll be able to help you with 1/2^SH,UNLABELLED
22548.0,@115850 @AmazonHelp what's update of this? https://t.co/rZxXAjgtps,@120925 This being a social platform we can not access your Amazon account details. (1/2)^SF,UNLABELLED
22554.0,@115850 horrible experience. Pathetic cs care . Worst experience. Even a prime member,@120927 Apologies for the bad experience with our support. I'd like to help you with the issue. ^AK (1/2),UNLABELLED
22571.0,@115850 Ordered on 7 October 2017 Order# 403-7284574-6433108 not yet delivered. No way to cancel and get refund.,@120931 Sorry for the delay. I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. 1/2 ^SC,UNLABELLED
22574.0,That's @AmazonHelp return experience summed up in 2 images. The pick up person has been rescheduling and cancelling on his own. @115850 https://t.co/fM0w6AUv1t,"@120932 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.2/2^SY",UNLABELLED
23198.0,"@115850 Order number 407-2412845-1630730, how to change shipping address?",@121051 support team here: https://t.co/vlvfJr4nN9 We'll look into it. Please don’t provide your order/account 2/3 ^SB,UNLABELLED
23969.0,@115850 You customer service number doesn't let me reach any rep. How do I talk to someone ?,@121153 Please click on the link and follow the path: login or skip sign in &gt; Choose an option &gt; (1/2) ^VH,UNLABELLED
23997.0,"@115821 @115850 @AmazonHelp I placed ds ordr n status is still ‘on d way’, is not dis ur failure to track ur deliveries on time? Disgustng https://t.co/u7Yco0g6DP","@121160 here: https://t.co/beaaDm0muc &amp; we'll sort this for you. Also, please don't provide (2/3)^SF",UNLABELLED
24001.0,@115850 hi why you end no emi cost on PS4 I was about to purchase today😑😬🙄🤔😒😔😕☹️,@121161 I understand your concern. No cost EMI is applicable on select sellers only. Please referrer to the FAQs 1/2 ^SY,UNLABELLED
24056.0,Hello @115821 order not delivered OD__credit_card__ not delivered but SMS &amp; email received regarding its delivery.ph 08797297187,"@121179 here: https://t.co/2kHjkbjHcL so we can take a closer look at this. Also, please don't provide (2/3)^SF",UNLABELLED
24524.0,"@115850 it is really sad to know that you ppl sell lots of book online, but don't give one bookmark also with books.",@121288 I’m sorry if you have not received a bookmark with any order of the book that you purchased. (1/2)^SF,UNLABELLED
24528.0,"@121284 Hi, is there a way to play songs from my phone folders or upload them on cloud and play on to my @115833 ?",@121289 You can connect it to speakers or headphones through Bluetooth or 3.5 mm stereo cable to (1/2) ^GK,UNLABELLED
24562.0,@115850 @121294 Yesterday my LGQ6 was delivered and I complain for its heating issue but didn't get any appropriate response.,@121293 I’m sorry about the issue you’re facing with the order. Let us look into it. (1/2)^HR,UNLABELLED
25264.0,"@AmazonHelp It's blank. My delivery status still says ""can't deliver"" even though I've called customer service. This is the second time in one year.",@121462 I'm sorry it hasn't arrived! We'd like to help. What is the current status here: https://t.co/PCtircFm5C? ^SJ,UNLABELLED
25852.0,@AmazonHelp What is this ? Two days in a row it has gone to wrong courier facility ? No follow ups from amazon !! https://t.co/ixGAtTiBR0,@121649 Kindly report this to our support team here: https://t.co/HQhpS2qeEd. We'll look into it. 2/2 ^PS,UNLABELLED
25863.0,"@115850 @121284 hey amazon, my echo dot is taking 4 days to be delivered even though I am in Mumbai. #disappointed #badService",@121649 We ship the packages to meet the estimates provided while placing the order. Did we happen to miss it? ^AR,UNLABELLED
25866.0,@115850 : Got a really bad experience with support for replacing cracked Kult Mobile. You ask to contact Kult and they point you. https://t.co/Krh5BolYua,@121650 Sorry to know that you've received a damaged product. I'd like to check this issue for you. (1/2) ^KA,UNLABELLED
25881.0,@119356 @AmazonHelp @1560 I have purchased a keybrd &amp;mouse mrp shows 787 bt bill amt 799 from amazon .. https://t.co/LA3QOEQZo0,@121654 various factors. More info: https://t.co/8c7nqHBUw9 Please connect with us here: https://t.co/00q4Sqj9zL for further help.2/3^KA,UNLABELLED
26882.0,あれ？知らない間にAmazonプライムの年会費払ってたんだが？,@121887 (2/2)なお、有料会員移行後、特典をご利用されていない場合には、退会とともに年会費を返金いたします。退会をご希望の際には、こちらのヘルプページをご確認のうえ、お手続きください。 https://t.co/wdPTbEULCH ET,UNLABELLED
26892.0,@121992 @120474 They'll all be gone by the time we get a reply too!,@121992 Please get in touch https://t.co/QfV30t1jzh and we'll look into this for you. ^BM,UNLABELLED
27847.0,@115850 Order No. #402-4667119-6645143 return requested but not yet received the refund.Amazon do something regarding it. https://t.co/vYGomUmP8L,"@122096 We'd like to take a closer look at this, please share the details here: https://t.co/GIJyeYqKE0 and we'll sort this out. ^MS",UNLABELLED
27871.0,@122002 @120474 Now.... (not not) 😩,@121890 Hi Claire. Please use this link to get in touch and we'll help: https://t.co/JzP7hlA23B ^RL,UNLABELLED
27894.0,@AmazonHelp An order that hasn't arrived... https://t.co/R6AdxYR9vP,"@122104 I'm sorry for the delay! For more information on shipping to PR, visit us here: https://t.co/ShggNRpgAX ^TK",UNLABELLED
28392.0,@115850 I should have got a 5% cash back into my Amazon Pay Balance for Order# 171-5546134-2977952 I placed yesterday but did not. Why?,@122218 I understand your concern is regarding cashback. Kindly contact us here: https://t.co/rS49hgaADF and I'll get this sorted.1/2^VH,UNLABELLED
28474.0,@115850 @AmazonHelp Not able to make payment for order #408-8438988-8961968.Amount deducted 4 times &amp; still order not placed #worstservice,@122230 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.(1/2)^CB,UNLABELLED
28907.0,@115821 7827823104 this is my register number.my id is not working.my 40000 rs stucks.plz unblcok,@122366 I get your concern regarding a refund. Please connect with us here: https://t.co/vlvfJr4nN9 &amp; we'll help you. (1/2)^BS,UNLABELLED
28944.0,またやられた。 届きませんよAmazonさん。 いや、Amazonを責めるのは違うな。 10月27日に発送されて11月1日に届かないって何事？😡 4日もありゃ届くでしょ😭,@122369 ご心配をおかけしております。お届け予定日は過ぎておりますでしょうか？お届け予定日内である場合には、恐れ入りますが、いましばらくお待ちください。万が一お届け予定日を過ぎている場合には、あとにご案内するそれぞれの方法でお問い合わせください。 TN,UNLABELLED
29986.0,Warum kann ich meinen #kindle oasis und Zubehör noch nicht bewerten? @116316 Angst vor schlechten Bewertungen? Zu recht!,"@122597 Ich habe soeben Rückmeldung erhalten. Wenn der Artikel derzeit nicht verfügbar ist, ist eine Bewertung leider nicht möglich. ^DW",UNLABELLED
30038.0,@115850 @AmazonHelp Alexa's accent for Indian English is horrible. Just horrible. And skills are blocked for other languages.,"@122606 with local pronunciations and intonation; support for music titles, names and places in additional non-English languages.^MP 2/3",UNLABELLED
30519.0,@AmazonHelp Have done that many times in the past. No changes seen. So won't take the effort anymore. It's a sheer waste of time.,@122720 I understand your concern. Please share your details in the link provided earlier and we'll get back to you. ^HD,UNLABELLED
31311.0,@115850 I didn't receive my order yet. Delivery date is 30th Oct. Order I'd 408-2620150-2527537. Customer care commitment is not met.,@122905 Sorry for the delay. I'd like to help you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.(1/2)^RI,UNLABELLED
32314.0,@115850 Promotional cash back not credited even after refund date been crossed https://t.co/YxIGHWvVmb order# 404-4707947-1460330☹️😡,"@123158 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2 ^PR",UNLABELLED
32318.0,"@115850 don't you even bother the problem of customers,you send incomplete package then Leave customer on their own Too bad ..","@123159 I understand your concern. Due to courier restrictions, we're unable to arrange a pick up for you. Request you to (1/2) ^MO",UNLABELLED
33200.0,@115850 HELP me with order no 171-2257132-6941919 which is not shipped yet.,@123344 Sorry about that! We'll surely help. Kindly report this to our team here :https://t.co/2t6DQoUmNZ and we will do the 1/2 ^PR,UNLABELLED
33205.0,"It's very shameful on your part @115850, promising a day delivery and not even giving the agent's number, just to fool the customers. https://t.co/11Xyzg0epQ","@122493 Apologies, if you've shared the details in the link provided earlier here: https://t.co/dZKBkXvOcN, we'll look (1/2) ^MO",UNLABELLED
33281.0,"@AmazonHelp order no. 408-9613915-0161138 Just one question, what is my fault in all this and you are telling me policies @1840",@123355 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG(1/2),UNLABELLED
34467.0,@116928 Hace medio año os compre un CPU AMD. Ya no funciona. ¿Qué hago?,"@123470 2/2 Para más información sobre la Garantía Legal, accesa aquí: https://t.co/dH6OUlkJ6O. ^DA",UNLABELLED
35138.0,@116928 de verdad creéis que se puede enviar un producto en este estado? Y siendo para un bebé ya... #NoTodoVale #AsiNo @123650 https://t.co/advmDYE29g,"@123649 Hola, sentimos esta experiencia. El producto ¿es vendido y gestionado por Amazon o es vendido por un vendedor externo? ^DA",UNLABELLED
35141.0,"@115850 ORDER # 405-0563842-3521944. When I ordered it, there was cashback of 10% on using icici card. I did not get the cash back",@123651 I'm sorry about the delay in cashback. Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. (1/2),UNLABELLED
35161.0,What happened to my order #402-7818801-0665933 it's not moving since 28/10/17 @115850,@123656 missed the estimates mentioned here: https://t.co/pYHdlcj0Ot ? Please don’t provide your order details as (2/3),UNLABELLED
35205.0,"@123665 @AmazonHelp Entre Fourcade, @89191, le code Rousseau et votre livre : superbe classement ""Hockey"" !","@123665 Vous pouvez contacter le service en question, en envoyant un e-mail au service client via le lien suivant : https://t.co/qzuu0dgDXz ^ME",UNLABELLED
38815.0,@AmazonHelp contact me 9897327895,@120265 Could you please elaborate your query so that we can help you in the best possible manner ? ^KS 2/3,UNLABELLED
38834.0,@115850 I have had horrible experience with return pick up which was to arrive on 26.10.17. Still awaited. Tracking no. 710399667431,@124472 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. 1/2^HN,UNLABELLED
40429.0,@AmazonHelp ordered a product with delivery address j&amp;k....but ATS is trying to deliver it to Assam....track id-79244084290,@124860 I'm sorry about this. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^ VN (1/2),UNLABELLED
43308.0,@115850 “Delivery refused by customer msg” Text received today even nobody call me for delivery. Customer care also given false statement https://t.co/KQAS6ELsUM,@125597 Sorry for the hassle. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you 1/2 ^NK,UNLABELLED
44523.0,@115850 @AmazonHelp my OD ID is 4__credit_card__ &amp; Tracking ID is 213112426556 It was a replacement of faulty product,@125591 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG(1/2),UNLABELLED
45560.0,@AmazonHelp Amiunt not refunded,"@126087 I'm sorry you've not received the refund yet, please contact us here: https://t.co/rS49hgaADF so that (1/2)^SU",UNLABELLED
46548.0,@AmazonHelp I got a msg saying that my order has been cancelled for no specific reason and the payment has already been done https://t.co/8pCGmquCer,@126337 automatically and you'll receive an email regarding the same. However for a quick resolution (2/3)^SU,UNLABELLED
46557.0,@115850 @AmazonHelp @115821 help I have done the payment but in my order section it showing this 🤔 https://t.co/ikDDKZgrI0,"@126340 As per the screenshot, the payment has apparently failed, if there was a charge made. It will be auto refunded back.(1/2)^CB",UNLABELLED
46566.0,@115850 I am unable to pay thr Kindle Unlimited request for account (Dr. Pawan Mathur) with login id __email__. Please help,"@126343 Sorry that you're unable to place the order for Kindle unlimited, we certainly did not expect this to happen, (1/2)^SU",UNLABELLED
47842.0,"@115850 Order ID P04-9259181-4317392. It's more than 15 days, where is my cashback on redBus transaction??? Already a long mail trail hpnd",@126699 I'm sorry to hear this. Allow us to take a closer look by sharing your details here: https://t.co/GIJyeYqKE0. ^VN (1/2),UNLABELLED
47889.0,order id #403-5637109-7077146 has been cancelled or is on time pls help. @AmazonHelp @115850,@126709 We'll surely help you with the information. Request you to contact us here : https://t.co/2t6DQoUmNZ. 1/2 ^PR,UNLABELLED
47933.0,@115850 Seems like I should ask money from your CEO,@126720 I'm sorry to hear this. Kindly reply to our correspondence regarding this and we'll check this further for you. ^VN,UNLABELLED
49134.0,@AmazonHelp how can u sell something higher than MRP?? https://t.co/9LblRhGcWp,@126976 Pricing and offers are decision of the sellers. The constantly changing marketplace1/2^HN,UNLABELLED
49922.0,"Ok @115850 let's get it sorted today. I've bought over a 100 books from u, never received a single free bookmark. 😢 Mujhe Insaf chaiye! 😢","@127182 with several book orders, you may not receive it for every book. We will consider your feedback (2/3) ^JS",UNLABELLED
50749.0,@115850 thanks for 5180770843835. Will never forget this... will buy my next product from a roadside vendor but #amazon ever...go to hell,"@127384 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^HD",UNLABELLED
51590.0,"@AmazonHelp It worked. Just to note, this was my first order.",@127579 Echo device is limited to one per customer and this might be the reason you're not able to add it to the cart again. ^SU,UNLABELLED
52901.0,"@115850 Why you guys update tracking status as ""delivered"" without actually delivering the product? Tracking #:511367948985","@127911 Sorry about this experience, Anuj. Please report this to our team here:https://t.co/TdDksLo6Mf and we'll look into this. 1/2 ^MK",UNLABELLED
52929.0,"Vino un repartidor de @116875 y, ¿qué creen que hizo? Me pidió dinero a cambio de entregarme el paquete.","@127922 Hola Ma.Emilia, lamentamos mucho lo sucedido. Puedes reportar lo sucedido a nuestros compañeros de (1/2)",UNLABELLED
52936.0,@AmazonHelp How difficult could it be that some problem happened at DHL and send me the book again?,"@127923 We can be reached at 1-206-266-2992, charges may apply. We're also available toll free here: https://t.co/hApLpMlfHN ^LR",UNLABELLED
54397.0,@AmazonHelp @115850 I hv placed order of Neocate Powder yesterday. I need it urgently. Plz deliver me asap. https://t.co/Re5lufpMeI,@128312 per delivery estimates. Request you to wait. (2/2)^SQ,UNLABELLED
56830.0,#Hearusamazon @115850 @115821 @115851 @3161 @128876 https://t.co/qjx5nccDLO,@128875 Sorry for the unpleasant experience with us. Kindly fill in your details (1/2)^SQ,UNLABELLED
56879.0,@AmazonHelp If it's available for any pin code from MH state. 3/n,@128885 Kindly help us with your pincode and we'll let you know if the item can be delivered to it. ^SH,UNLABELLED
56925.0,@AmazonHelp It's bad enough that I'm considering canceling both prime accounts.,@128892 We understand our choice of carrier reflects on our business. Please let us know if you have any further issues with UPS. ^MB,UNLABELLED
58139.0,Kann man sich auf @116316 eigentlich einen Alarm einstellen der einen informiert wenn bestimmte Sachen eingestellt werden?,"@129197 Falls ein Artikel nicht verfügbar ist, kannst du dich einloggen und per Button eine Benachrichtigung anfordern.",UNLABELLED
58148.0,Such a poor services of your Amazon customer services @115850 your representative told me that i would be eligible for the cashback,"@129200 Sorry for the trouble with the cash back, Rahul. I'd like to take a closer look. 1/2 ^HD",UNLABELLED
58153.0,No matter how loud you cry @115850 is not gonna hear sellers. A blind eye approach. Stopping all Ads @128876 @115851 #HearUsAmazon https://t.co/jeCP6SD7C6,"@129201 Sorry for the unpleasant experience with us. We'd like to know what went wrong, (1/2)^SQ",UNLABELLED
59520.0,@115850 When will iPhone X will be back in stock?,"@129576 We haven't made an announcement on that yet. However, you can click on ""Email Me"" option 1/2 ^HD",UNLABELLED
59550.0,@AmazonHelp i just ordered this light and after i placed my order it changed my 2 day shipping to next monday ??? https://t.co/RvLY0Ro5Ga,@129583 I'm sorry for the wait! Two-Day Shipping refers to transit speed in business days once an item's shipped. (1/2),UNLABELLED
59567.0,"This is how I receive my parcels back from ATS, they literally treat these as garbages #HearUsAmazon @115850 @115851 @127586 @2896 https://t.co/QuP8vX4MQh","@129587 Apologies for the trouble with the return of the packages, Manjunath. We'd like to take a closer look. 1/2 ^HD",UNLABELLED
62386.0,Pero cómo sois tan geniales @130293,"@130292 ¡Hola Francisco! ¡Que bueno que estés utlizando Prime Video! Cuéntanos, ¿Podemos ayudarte en algo?",UNLABELLED
63826.0,Hi @115850 @AmazonHelp order number is 171-4216090-2817924 ordered wallet yesterday but there is no wallet in it . Got empty box . See to it asap . This is a fraud happening and you will loose a valuable customer now @3645 registered number 9873513970 https://t.co/LJvBBS8zB2,@130667 Please don’t provide your order details and phone number as we consider them to be personal information. Our page is visible to the public. 2/2^SC,UNLABELLED
63941.0,Ich weiss echt noch wofür ich Amazon Prime bezahle und dann noch einen Aufschlag für morning Express zahle wenn das Paket dann doch fast 5 Tage zu mir braucht! Und zu spät da is. Was da los @116316 ?,@130688 So sollte das natürlich nicht laufen. Gerne schaut sich das unser Kundenservice genauer an. Diesen erreichst du über https://t.co/24XL9C4y1x. ^KM,UNLABELLED
